Bill_Number,Customer_Name,Phone_Number,Table_Number,Total_GST,Total_Bill,Date&Time
7971,rony,6879435790,3,5.0,205.0,11-09-2023 Mon 11:11:08
1985,jay,7892345612,2,12.5,512.5,11-09-2023 Mon 11:11:08
5913,yash,8941563270,4,22.75,932.75,11-09-2023 Mon 11:11:08
5838,roy,9458791546,7,27.75,1137.75,11-09-2023 Mon 11:11:08
4193,rock,NA,7,8.0,328.0,15-09-2023 Fri 20:21:46
4392,rocky,6798546213,4,10.25,420.25,15-09-2023 Fri 20:21:46
9803,jayesh,7895463254,4,5.5,225.5,15-09-2023 Fri 20:24:06
9803,jayesh,7895463254,4,5.5,225.5,15-09-2023 Fri 20:24:06
9803,jayesh,7895463254,4,5.5,225.5,15-09-2023 Fri 20:24:06
8622,yash,NA,6,19.5,799.5,15-09-2023 Fri 20:24:06
1829,yash,NA,5,19.5,799.5,15-09-2023 Fri 20:26:30
3248,jils,8530164678,5,0.75,30.75,21-11-2025 Fri 19:03:08
6972,jils,9876543210,1,0.75,30.75,21-11-2025 Fri 19:04:15
